Messier #,NGC #,Kind,Type,Distance (LY),Size( ' ),Apparent Magnitude,R.A. ( h m ),Dec. ( ° ' ),Constellation,Season,Discoverer,year,Remarks
75,6864,Globular Cluster,I,79000,1.9,8,20 06.1,-21 55,Sgr,Su.,Mechain,1780,
76,650,Planetary Nebula,V,8180,2.5,12.2,01 42.0,+51 34,Per,Au.,Mechain,1780,Little dumb-bell nebula
77,1068,Galaxy,Sb,46900000,7.1,8.9,02 42.7,-00 01,Cet,Au.,Mechain,1780,
78,2068,Diffuse Nebula,,1600,8.6,8.3,05 46.8,+00 03,Ori,Wi.,Mechain,1780,
79,1904,Globular Cluster,V,43000,3.2,7.9,05 24.3,-24 31,Lep,Wi.,Mechain,1780,
80,6093,Globular Cluster,II,36000,3.3,7.7,16 17.1,-22 59,Sco,Su.,Messier,1781,
81,3031,Galaxy,Sab,17900000,14.1,7.9,09 55.6,+69 04,UMa,Sp.,Bode,1774,Bode's galaxy
82,3034,Galaxy,I0,17900000,11.2,8.8,09 56.0,+69 42,UMa,Sp.,Bode,1774,Bode's galaxy
83,5236,Galaxy,Sc,15300000,11.5,8.2,13 37.0,-29 52,Hya,Sp.,Lacaille,1751,
84,4374,Galaxy,E1,60000000,6.4,10,12 25.0,+12 53,Vir,Sp.,Messier,1781,
85,4382,Galaxy,SO,60000000,7.1,10,12 25.4,+18 11,Com,Sp.,Mechain,1781,
86,4406,Galaxy,E3,51860000,8.9,9.8,12 26.2,+12 56,Vir,Sp.,Messier,1781,
87,4486,Galaxy,E1,54800000,8.3,9.6,12 30.8,+12 23,Vir,Sp.,Messier,1781,
88,4501,Galaxy,Sb,60000000,6.9,10.7,12 32.0,+14 25,Com,Sp.,Messier,1781,
89,4552,Galaxy,E0,60000000,5.1,10.5,12 35.6,+12 33,Vir,Sp.,Messier,1781,
90,4569,Galaxy,Sc,60000000,9.6,10.3,12 36.8,+13 10,Vir,Sp.,Messier,1781,
91,4548,Galaxy,SBb,63000000,5.4,11.1,12 35.5,+14 30,Com,Sp.,Messier,1781,(confused with M58?)
92,6341,Globular Cluster,IV,36000,8.3,6.1,17 17.1,+43 09,Her,Su.,Bode,1777,
93,2447,Open Cluster,g,3580,25,6,07 44.5,-23 52,Pup,Wi.,Messier,1781,
94,4736,Galaxy,Sbp,14000000,11.2,9,12 50.9,+41 08,CVn,Sp.,Mechain,1781,
95,3351,Galaxy,SBb,29000000,7.4,10.7,10 43.9,+11 42,Leo,Sp.,Mechain,1781,
96,3368,Galaxy,Sbp,29000000,7.5,9.9,10 46.7,+11 49,Leo,Sp.,Mechain,1781,
97,3587,Planetary Nebula,P,7460,3.2,12,11 14.9,+55 02,UMa,Sp.,Mechain,1781,Owl nebula
98,4192,Galaxy,Sb,36000000,8.4,10.7,12 13.8,+14 54,Com,Sp.,Mechain,1781,
99,4254,Galaxy,Sc,60000000,4.6,10.1,12 18.8,+14 25,Com,Sp.,Mechain,1781,
100,4321,Galaxy,Sc,55000000,5.3,10.6,12 22.9,+15 49,Com,Sp.,Mechain,1781,
101,5457,Galaxy,Scd,22500000,26.9,8.3,14 03.2,+54 21,UMa,Sp.,Mechain,1781,Pinwheel nebula
102,5866,Galaxy,E6p,32000000,2.9,10.8,14 05.1,+55 57,Dra,Su.,,,(confused with M101?)
103,581,Open Cluster,d,3740,5,7.4,01 33.2,+60 42,Cas,Au.,Mechain,1781,
104,4594,Galaxy,Sa,65200000,8.7,8.7,12 40.0,-11 37,Vir,Sp.,Mechain,1781,Sombrero nebula
105,3379,Galaxy,E1,29000000,5.3,10.1,10 47.8,+12 35,Leo,Sp.,Mechain,1781,
106,4258,Galaxy,Sbp,21000000,19.5,8.6,12 19.0,+47 18,CVn,Sp.,Mechain,1781,
107,6171,Globular Cluster,X,56000,2.2,9.2,16 32.5,-13 03,Oph,Su.,Mechain,1782,
108,3556,Galaxy,Sc,23000000,8.7,10.7,11 11.6,+55 41,UMa,Sp.,Mechain,1781,
109,3992,Galaxy,Sb,55000000,6.2,10.8,11 57.6,+53 22,UMa,Sp.,Mechain,1781,
110,205,Galaxy,E6,2100000,10,9.4,00 40.3,+41 41,And,Au.,Messier,1772,(Unauthorized)
